"id","categoria","contexto","pregunta","respuesta"
"501","Síntomas","En el síndrome coronario agudo, el dolor típico suele ser opresivo, retroesternal, prolongado y puede irradiar a brazo izquierdo, mandíbula, espalda o epigastrio. La guía ESC recomienda ECG de 12 derivaciones precoz y troponinas seriadas si no hay elevación persistente del ST.","que sintomas me hacen pensar en infarto con dolor toracico","Los síntomas que orientan a IAM son dolor torácico opresivo persistente, irradiación, sudoración, náuseas, disnea o síncope. No hay que esperar a que el cuadro sea “clásico”: ECG urgente y troponinas seriadas si se sospecha SCA."
"502","Síntomas","En ancianos, mujeres, diabéticos y pacientes con insuficiencia renal, el SCA puede presentarse con disnea, fatiga, síncope, epigastralgia o malestar inespecífico. La ausencia de dolor torácico no descarta isquemia miocárdica.","tengo un paciente con equivalentes anginosos, ¿qué busco?","Disnea brusca, cansancio extremo, náuseas, epigastralgia o síncope pueden ser equivalentes anginosos. En pacientes de riesgo, se debe hacer ECG y troponinas aunque no haya dolor típico."
"503","Síntomas","El dolor torácico pleurítico, que aumenta con la inspiración o la tos, orienta más a pericarditis, embolia pulmonar o patología pleuropulmonar que a angina típica. La evaluación debe integrar ECG, constantes, exploración y probabilidad clínica.","¿cómo distingo dolor pleurítico de algo menos grave?","El dolor pleurítico no es el patrón típico de infarto, pero no excluye patología grave. Hay que valorar pericarditis, embolia pulmonar, neumotórax y, si hay factores de riesgo, descartar SCA con ECG y biomarcadores."
"504","Síntomas","La pericarditis aguda suele causar dolor torácico punzante que mejora al sentarse e inclinarse hacia delante, puede asociar roce pericárdico y elevación difusa del ST con descenso del PR. La presencia de derrame o inestabilidad cambia el manejo.","pericarditis aguda, ¿qué signos de alarma miro?","Sugiere pericarditis si el dolor es posicional, pleurítico y mejora al inclinarse hacia delante. Conviene hacer ECG, ecocardiograma y marcadores inflamatorios; si hay derrame importante o compromiso hemodinámico, ingreso."
"505","Síntomas","La disección aórtica suele producir dolor torácico o dorsal súbito, muy intenso, desgarrador, con posible asimetría de pulsos, déficit neurológico o insuficiencia aórtica aguda. Requiere sospecha clínica alta e imagen urgente.","¿cuando me preocupo por disección aórtica?","Piensa en disección si el dolor es brusco, máximo desde el inicio, con irradiación a espalda, síncope, déficit neurológico o diferencia de pulsos. No es un cuadro para “observar”: necesita imagen urgente y control hemodinámico."
"506","Síntomas","La embolia pulmonar puede presentarse con disnea súbita, dolor pleurítico, taquicardia, síncope o hipoxemia. La estratificación combina probabilidad clínica, dímero D cuando procede, imagen y valoración del ventrículo derecho.","sintomas de embolia pulmonar","Sospecha embolia si hay disnea brusca, dolor pleurítico, taquicardia, hipoxemia o síncope, sobre todo con factores de riesgo trombótico. La gravedad la marcan la hipotensión, el VD y los biomarcadores."
"507","Síntomas","La insuficiencia cardiaca aguda se manifiesta por disnea, ortopnea, crepitantes, edemas, ingurgitación yugular o hipoperfusión. La guía ESC recomienda valorar congestión, perfusión, desencadenantes y necesidad de oxígeno, diuréticos o soporte.","mi paciente dice que tiene insuficiencia cardiaca aguda, ¿puede ser cardiaco?","Los datos clave son disnea, ortopnea, crepitantes, edemas, yugulares altas y mala perfusión. Si hay hipoxemia, edema agudo de pulmón, hipotensión o confusión, es una urgencia."
"508","Síntomas","El edema agudo de pulmón se caracteriza por disnea intensa, ortopnea, estertores difusos, hipoxemia y a veces expectoración espumosa. Suele requerir tratamiento urgente de congestión y soporte ventilatorio si hay insuficiencia respiratoria.","¿es normal que en edema agudo de pulmón no duela el pecho?","Si el paciente está ahogado, con crepitantes difusos y saturación baja, piensa en edema agudo de pulmón. Hay que sentarlo, monitorizar, tratar congestión y valorar ventilación no invasiva si hay trabajo respiratorio."
"509","Síntomas","El shock cardiogénico combina hipotensión persistente, signos de hipoperfusión y causa cardiaca como IAM extenso, arritmia o fallo ventricular. Es una situación tiempo-dependiente que requiere monitorización, vasopresores/inotrópicos y tratar la causa.","¿qué datos clínicos apuntan a shock cardiogénico?","Los signos son hipotensión, piel fría, oliguria, confusión, lactato alto y congestión o bajo gasto. En un IAM con shock hay que activar manejo invasivo urgente y soporte hemodinámico."
"510","Síntomas","La fibrilación auricular puede causar palpitaciones irregulares, disnea, fatiga, mareo, dolor torácico o descompensación de insuficiencia cardiaca. También puede ser asintomática y descubrirse en ECG o monitorización.","¿fibrilacion auricular síntomas necesita ECG ya?","La FA puede dar palpitaciones “desordenadas”, falta de aire, cansancio, mareo o empeorar una IC. La confirmación necesita ECG con ritmo irregular sin ondas P organizadas."
